"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634.5604132585","572.16176273095","356.082212590475","347.466463257033","389.825286464953","441.89400183385","484.091640977405","501.156515236364","584.384267258527","575.62847915563","603.298025247115","676.150011307766","765.31617768154","910.171261745184","1166.63820390025","1608.16340888544","2109.5263849698","3064.27996076935","3908.94905676792","2917.36624501531","3143.02948216523","3462.6817742332","3643.71540446926","3833.15707143416","4017.22991251531","3666.14182536082","3679.95234910427","4041.99507231389","4391.92327364082","4828.50488860645","4505.86774552638","4966.51347122366","7014.20659172274",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8800.72881035461","9043.68236654528","8832.81851941832","8733.01428721137","8673.92719531291","9187.16634446553","10019.502245442","12191.5977314597","10446.8632062572","10495.3047320935","11920.0610903131","12038.8715916596","12313.9973571825","13101.5418159165","13300.8246114811","12372.8847825647","13195.9358995539","13672.576657298","15501.5263374397","15743.3107582991","",
"Antigua and Barbuda","ATG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","1208.67716368052","1366.09214322439","1688.30935146634","2025.47468240637","2271.83192643132","2519.80314404024","2784.73723341125","3187.98149224773","3703.78681611756","4488.19601836971","5239.4583290888","6230.46681531959","6895.38607892574","7255.40630322086","7569.96900096501","7721.76311853696","8129.14412118471","8788.01332343794","8440.03452559258","9079.48121192054","9556.83280236062","10029.4777498107","10379.1604015118","11010.1974601342","10502.9388110146","10549.6661892802","10968.8926839103","11650.8484770858","12808.0101536637","14310.6862347854","16006.1361107498","16457.1040632589","14530.5986896353","13404.5160161036","13117.1469408968","13686.4765853976","13350.149136673","14004.8112122163","14861.8827074704","15862.6516627488","16110.31239978","17514.3558637327","18187.7797117112","15284.7723835378","16740.3481963818","18745.1735087796",
"Australia","AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1810.59744300336","1877.60022432732","1854.64189070944","1967.10899077258","2131.38030008381","2281.01195638421","2343.81978993494","2580.11059195602","2724.13067184439","2991.38594746314","3304.83782028761","3495.14162789592","3949.46164337606","4770.71441498637","6482.83108182526","7003.84247098582","7486.68497286899","7775.57764482147","8252.65203501966","9294.35924726014","10208.5761716721","11853.4360174361","12778.855250056","11515.4959458031","12421.3613683719","11441.0490196913","11391.4367051223","11650.8418747976","14284.4292034947","17834.4478503956","18249.533940858","18860.2731986567","18624.5908924368","17700.1155557894","18129.7907198601","20446.7198474713","22020.0797987016","23645.0574875342","21478.3851573346","20698.7127028167","21853.4499933573","19681.6450326534","20290.7804189053","23705.9072163917","30819.9934867745","34460.5429970479","36570.7630699009","41023.7548562293","49681.2190739771","42810.4658391817","52132.469607935","62598.6866176979","68047.3781775015","68156.3861047269","62515.3148315008","56708.96119674","49876.7123761245","53934.1543741253","57206.9906696898","54941.0657202842","51722.0690001531","60444.5023551978","64491.4298860631",
"Austria","AUT","GDP per capita (current US$)","NY.GDP.PCAP.CD","935.460426850415","1031.8150043291","1087.8342434189","1167.00053244585","1269.41258289256","1374.53213986075","1486.96860600566","1569.66718289967","1677.67352804272","1825.38612552124","2058.76905087549","2380.97845801742","2924.04887899105","3890.72241941969","4630.75719737956","5285.62072414121","5678.38665810018","6810.62768469634","8205.4689771504","9793.76534815017","10869.5464940526","9385.24906398343","9410.34725652989","9537.40742043378","8991.06503963026","9172.09676001833","13083.0726621044","16392.7695234749","17578.6189397397","17468.9461372569","21680.989623313","22410.9117666654","24880.1641180361","24081.5277928004","25646.7006591684","30325.8495818396","29809.0767730821","26705.4785993891","27361.8751106437","27183.4759263956","24625.6007227434","24558.7636778868","26527.5930910347","32294.0488606559","36889.2335135194","38417.4577857677","40669.3269586152","46915.3374004507","51919.9835754226","48153.3240199631","46903.7615854354","51442.2762464411","48564.9173350875","50731.1272541851","51786.3771747897","44195.8175947748","45307.5878620442","47429.1584564391","51466.5565633624","50070.4033482892","48809.2268762235","53637.7057109897","52131.4466586387",
"Azerbaijan","AZE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1234.5308900513","734.944232805688","60.2351205405972","209.530954548425","157.063549947072","314.558197261084","409.185623050321","505.516204188336","561.907035403795","573.893296585846","655.097432602586","703.671250439944","763.108764637007","883.692580745256","1045.01416451835","1578.36733030667","2472.95725732287","3851.33101236931","5574.47096169468","4950.39743713656","5843.5337683582","7189.81515142228","7495.86194235033","7875.3446110554","7890.83525042681","5500.50462041954","3880.68626683773","4147.19861886412","4739.79524170312","4805.75371765917","4229.91064904503","5408.04535175023","7736.70123206975",
"Burundi","BDI","GDP per capita (current US$)","NY.GDP.PCAP.CD","71.3602241759423","72.0887820621299","73.9420079222781","78.94826921713","85.9647245434688","50.9904201718004","51.8086400241772","54.450305033129","54.6474656243876","55.543775063086","69.3951088547481","70.5855233098498","68.9553297399475","85.214643786738","94.3334626755974","112.286107305887","117.051878460375","139.413263732793","151.067991502609","189.125941172438","213.253435366784","215.78760277902","220.157009924496","229.117725538647","203.859829973679","232.41182455329","238.356916699581","219.371300655575","205.31791926308","207.291950106508","206.444928267383","208.656723378432","188.581166847581","168.964075594911","165.585934674604","168.627167702793","146.536182541744","164.233445666936","148.089542518244","130.753023919327","138.004617225366","135.606475784646","124.139301602651","114.36700716216","128.538422519456","151.188541052498","166.276245228761","170.706876423534","194.710634589705","204.544755650643","222.660583148072","236.451347423735","238.205945258781","241.547665658082","257.818557465694","289.359627144769","242.539527360495","244.145422138192","232.060616581243","216.972970864849","216.827417445762","221.15780340632","238.44187565548",
"Belgium","BEL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1273.69165910289","1350.19767333123","1438.5232330684","1535.02372901043","1701.84627554319","1835.59476553194","1957.62608042762","2086.63600544654","2222.36151051913","2458.08182003773","2765.89099664794","3082.92798879126","3831.63189999433","4900.96220075866","5733.79813933878","6701.37736052433","7243.04734119583","8426.94695947372","10289.7684173296","11810.6158754725","12864.0025661396","10622.8024830789","9343.86109959618","8846.23429846974","8457.26880316374","8750.81851250536","12170.0406962702","15135.8523116968","16391.093827791","16525.0617432848","20600.3752789827","21041.6606519648","23372.619171015","22283.9360213551","24208.5547931447","28413.8264387368","27489.5551770488","24820.9380503896","25338.4432934904","25252.8019066564","23098.8865077401","23015.0712632462","25006.191397109","30655.2092679024","35429.4077933344","36809.7013403619","38705.1067959147","44319.165448813","48303.397956286","44760.2912443709","44184.946353965","47410.5669277467","44670.5606845101","46757.9518559601","47764.0715120825","41008.296719472","42012.6227191027","44198.4823908695","47544.9811472749","46641.7116578097","45517.9038182019","51268.3880373598","49582.8253649187",
"Benin","BEN","GDP per capita (current US$)","NY.GDP.PCAP.CD","90.0358311667814","92.3748600166452","91.1713924336844","96.254664401269","100.468087912358","105.966855620251","108.628226820592","107.682861670752","112.477968075867","111.695272771839","110.346949971286","108.494718729354","129.999624965457","156.280349405791","168.012266025967","200.334311498776","201.832906969734","211.492882796144","255.392387163315","317.820417232829","366.52952584332","327.565035793523","312.693212785745","262.577339651802","244.844367620316","236.610586281167","293.55963243614","333.223118434127","335.341923290665","301.684930331592","381.805056333014","375.291995927622","310.623720074924","398.613026601305","269.790587095635","358.822987066371","380.588286669147","355.142071614187","372.877346839793","541.702259016989","502.997981047457","508.347447530609","564.379058062222","698.408777107434","784.119074627373","805.904685812985","837.132002619121","944.643171187138","1098.94667760499","1061.71835877641","1009.48949432994","1099.41431139182","1112.56953520697","1214.29556576578","1251.50476542685","1041.65252315982","1049.82030349922","1095.27445905127","1194.43821427137","1170.96553298105","1237.9492953503","1361.10074905831","1303.22201358944",
"Burkina Faso","BFA","GDP per capita (current US$)","NY.GDP.PCAP.CD","69.0831952198967","72.1737662931569","77.0773339358349","78.8290862901587","80.833859786074","81.9935267410322","82.7592155524381","84.5594913625298","84.9193257891282","86.7151166918253","81.6877320776842","84.517987893475","99.6670654863859","114.218523712851","124.811537579378","153.128822543048","155.754990332709","176.297469907101","224.328552754095","259.036506606556","278.195451445412","249.285463726048","239.619495795146","212.486988121819","188.335761195589","194.567890991477","248.092870415123","280.952705438929","301.953488868468","294.043723860738","339.631822581939","334.759654200809","349.708107975179","325.153665961228","187.815138003672","229.832660075479","243.526923395001","224.611343733637","250.413944569723","293.887444486119","249.802075679455","260.443473018265","286.753715076072","363.81835185104","405.451276214086","442.944430923244","457.342074945007","516.75032795654","621.890271194649","603.877545123116","627.270395424425","727.612474945609","733.972878936782","762.303780331201","767.371344245295","632.126685840944","665.786328528158","711.184543938412","779.202768060739","772.166877547544","833.244336106076","893.077195986297","832.884265674075",
