"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2023-04","Apr-2023","NATUSD","National currency per US dollar","0","Units",,,1.34847,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2023-05","May-2023","NATUSD","National currency per US dollar","0","Units",,,1.351939,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2023-06","Jun-2023","NATUSD","National currency per US dollar","0","Units",,,1.328782,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2023-07","Jul-2023","NATUSD","National currency per US dollar","0","Units",,,1.321581,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2023-08","Aug-2023","NATUSD","National currency per US dollar","0","Units",,,1.34797,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2023-09","Sep-2023","NATUSD","National currency per US dollar","0","Units",,,1.353705,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2023-10","Oct-2023","NATUSD","National currency per US dollar","0","Units",,,1.370627,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","A","Annual","2022","2022","NATUSD","National currency per US dollar","0","Units",,,23.35057,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","Q","Quarterly","2022-Q1","Q1-2022","NATUSD","National currency per US dollar","0","Units",,,21.95899,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","Q","Quarterly","2022-Q2","Q2-2022","NATUSD","National currency per US dollar","0","Units",,,23.12624,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","Q","Quarterly","2022-Q3","Q3-2022","NATUSD","National currency per US dollar","0","Units",,,24.39499,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","Q","Quarterly","2022-Q4","Q4-2022","NATUSD","National currency per US dollar","0","Units",,,23.92207,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","Q","Quarterly","2023-Q1","Q1-2023","NATUSD","National currency per US dollar","0","Units",,,22.16806,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","Q","Quarterly","2023-Q2","Q2-2023","NATUSD","National currency per US dollar","0","Units",,,21.64681,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","Q","Quarterly","2023-Q3","Q3-2023","NATUSD","National currency per US dollar","0","Units",,,22.17826,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-01","Jan-2022","NATUSD","National currency per US dollar","0","Units",,,21.62829,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-02","Feb-2022","NATUSD","National currency per US dollar","0","Units",,,21.54965,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-03","Mar-2022","NATUSD","National currency per US dollar","0","Units",,,22.69904,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-04","Apr-2022","NATUSD","National currency per US dollar","0","Units",,,22.57957,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-05","May-2022","NATUSD","National currency per US dollar","0","Units",,,23.39923,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-06","Jun-2022","NATUSD","National currency per US dollar","0","Units",,,23.39991,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-07","Jul-2022","NATUSD","National currency per US dollar","0","Units",,,24.11067,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-08","Aug-2022","NATUSD","National currency per US dollar","0","Units",,,24.261,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,24.81332,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,24.96052,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,23.88891,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,22.91677,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2023-01","Jan-2023","NATUSD","National currency per US dollar","0","Units",,,22.2515,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2023-02","Feb-2023","NATUSD","National currency per US dollar","0","Units",,,22.12945,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2023-03","Mar-2023","NATUSD","National currency per US dollar","0","Units",,,22.12322,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2023-04","Apr-2023","NATUSD","National currency per US dollar","0","Units",,,21.3776,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2023-05","May-2023","NATUSD","National currency per US dollar","0","Units",,,21.70265,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2023-06","Jun-2023","NATUSD","National currency per US dollar","0","Units",,,21.86018,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2023-07","Jul-2023","NATUSD","National currency per US dollar","0","Units",,,21.59881,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2023-08","Aug-2023","NATUSD","National currency per US dollar","0","Units",,,22.10431,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2023-09","Sep-2023","NATUSD","National currency per US dollar","0","Units",,,22.83167,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2023-10","Oct-2023","NATUSD","National currency per US dollar","0","Units",,,23.27582,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","A","Annual","2022","2022","NATUSD","National currency per US dollar","0","Units",,,7.075539,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","Q","Quarterly","2022-Q1","Q1-2022","NATUSD","National currency per US dollar","0","Units",,,6.630113,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","Q","Quarterly","2022-Q2","Q2-2022","NATUSD","National currency per US dollar","0","Units",,,6.985509,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","Q","Quarterly","2022-Q3","Q3-2022","NATUSD","National currency per US dollar","0","Units",,,7.389825,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","Q","Quarterly","2022-Q4","Q4-2022","NATUSD","National currency per US dollar","0","Units",,,7.296707,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","Q","Quarterly","2023-Q1","Q1-2023","NATUSD","National currency per US dollar","0","Units",,,6.937352,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","Q","Quarterly","2023-Q2","Q2-2023","NATUSD","National currency per US dollar","0","Units",,,6.837925,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","Q","Quarterly","2023-Q3","Q3-2023","NATUSD","National currency per US dollar","0","Units",,,6.84996,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-01","Jan-2022","NATUSD","National currency per US dollar","0","Units",,,6.576943,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-02","Feb-2022","NATUSD","National currency per US dollar","0","Units",,,6.560795,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-03","Mar-2022","NATUSD","National currency per US dollar","0","Units",,,6.7526,,
"CCUS","Currency exchange rates, monthly average","DNK","Denmark","M","Monthly","2022-04","Apr-2022","NATUSD","National currency per US dollar","0","Units",,,6.878281,,
